timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,queue_length,network_condition
1771342907,2820.0,2820.0,0.085,0.000247,256,Unstable
1771342907,3084.0,3084.0,0.062,0.000149,259,Unstable
1771342908,3058.0,3058.0,0.043,0.000177,261,Unstable
1771342908,3010.0,3010.0,0.064,0.000219,264,Unstable
1771342909,3000.0,3000.0,0.064,0.000239,267,Unstable
1771342909,3160.0,3160.0,0.042,0.000171,269,Unstable
1771342910,2978.0,2978.0,0.064,0.00023,272,Unstable
1771342910,3246.0,3246.0,0.0,0.00019,272,Unstable
1771342911,3028.0,3028.0,0.043,0.000262,274,Unstable
1771342911,3100.0,3100.0,0.043,0.000248,276,Unstable
1771342912,3122.0,3122.0,0.042,0.000193,278,Unstable
1771342912,2950.0,2950.0,0.062,0.000191,281,Unstable
