[WARD] PatientFusionEncoder available=False
[WARD] Listening on 0.0.0.0:5006
[WARD CMD] Stable/ALERT -> SEMANTIC_SUMMARY (latency=252.2ms, windows=28, debounce=1)
[WARD CMD] Stable/ALERT -> FULL_ECG_PRIORITY (latency=502.8ms, windows=30, debounce=2)
[WARD CMD] Stable/NORMAL -> SEMANTIC_SUMMARY (latency=255.3ms, windows=33, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=502.1ms, windows=35, debounce=2)
[WARD CMD] Stable/NORMAL -> SEMANTIC_SUMMARY (latency=252.8ms, windows=40, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=752.8ms, windows=43, debounce=3)
[WARD CMD] Stable/NORMAL -> SEMANTIC_SUMMARY (latency=256.1ms, windows=46, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=502.7ms, windows=48, debounce=2)
[WARD CMD] Stable/NORMAL -> SEMANTIC_SUMMARY (latency=255.7ms, windows=53, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=753.1ms, windows=56, debounce=3)
[WARD ACK] command_id=69 acknowledged by all devices
[WARD CMD] Stable/NORMAL -> SEMANTIC_SUMMARY (latency=255.1ms, windows=62, debounce=1)
[WARD CMD] Stable/NORMAL -> FULL_ECG (latency=505.7ms, windows=64, debounce=2)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=252.0ms, windows=67, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_SUMMARY (latency=254.5ms, windows=70, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=756.9ms, windows=73, debounce=3)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_SUMMARY (latency=253.1ms, windows=80, debounce=1)
[WARD CMD] Stable/CRITICAL -> SEMANTIC_CRITICAL (latency=506.7ms, windows=82, debounce=2)
