timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,avg_delay,active_devices,packets_per_window,network_condition,predictor_source,prediction_confidence,estimated_lost_bytes,reordered_recovered_packets,receiver_overloaded,drain_max_ms,drain_avg_ms,drain_budget_hits,drain_backlog_hits
1778413067.44,0.0,0.0,0.0,0.0,0.0,0,0,Stable,heuristic,,0,0,0,0.0,0.0,0,0
1778413067.692,0.0,0.0,0.0,0.0,0.0,0,0,Stable,heuristic,,0,0,0,0.0,0.0,0,0
1778413067.945,0.0,0.0,0.0,0.0,0.0,0,0,Stable,heuristic,,0,0,0,0.0,0.0,0,0
1778413068.188,0.0,0.0,0.0,0.0,0.0,0,0,Stable,heuristic,,0,0,0,0.0,0.0,0,0
1778413068.442,0.0,0.0,0.0,0.0,0.0,0,0,Stable,heuristic,,0,0,0,0.0,0.0,0,0
1778413068.693,0.0,0.0,0.0,0.0,0.0,0,0,Stable,heuristic,,0,0,0,0.0,0.0,0,0
1778413068.947,22016.0,22016.0,0.0,0.053996,0.155291,8,86,Stable,heuristic,,0,0,1,0.117,0.055,0,1
1778413069.189,23296.0,23296.0,0.0,0.116107,0.197259,4,91,Stable,heuristic,,0,0,1,0.238,0.063,0,3
1778413069.442,25088.0,25088.0,0.0,0.126955,0.191173,4,98,Stable,heuristic,,0,0,1,0.147,0.056,0,1
1778413069.696,24832.0,24832.0,0.0,0.087844,0.184548,4,97,Stable,heuristic,,0,0,1,0.105,0.063,0,3
1778413069.948,24832.0,24832.0,0.0,0.04307,0.145126,7,97,Stable,heuristic,,0,0,1,0.107,0.048,0,2
1778413070.191,23808.0,23808.0,0.0,0.092583,0.187333,4,93,Stable,heuristic,,0,0,0,0.122,0.063,0,0
1778413070.443,24320.0,24320.0,0.0,0.064491,0.153845,4,95,Stable,heuristic,,0,0,1,0.095,0.052,0,5
1778413070.692,23040.0,23040.0,0.0,1.479684,4.946619,4,90,Stable,heuristic,,0,0,1,0.117,0.048,0,1
